"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Benthuizen";
"Total male and female";"2021";"Benthuizen";
"Total male and female";"2010";"Berg en Dal";
"Total male and female";"2020";"Berg en Dal";34992
"Total male and female";"2021";"Berg en Dal";35010
"Total male and female";"2010";"Berg en Terblijt";
"Total male and female";"2020";"Berg en Terblijt";
"Total male and female";"2021";"Berg en Terblijt";
"Total male and female";"2010";"Bergambacht";9729
"Total male and female";"2020";"Bergambacht";
"Total male and female";"2021";"Bergambacht";
"Total male and female";"2010";"Bergeijk";18061
"Total male and female";"2020";"Bergeijk";18635
"Total male and female";"2021";"Bergeijk";18754
"Total male and female";"2010";"Bergen (L.)";13391
"Total male and female";"2020";"Bergen (L.)";13085
"Total male and female";"2021";"Bergen (L.)";13108
"Total male and female";"2010";"Bergen (NH.)";30985
"Total male and female";"2020";"Bergen (NH.)";29839
"Total male and female";"2021";"Bergen (NH.)";29715
"Total male and female";"2010";"Bergen op Zoom";65845
"Total male and female";"2020";"Bergen op Zoom";67496
"Total male and female";"2021";"Bergen op Zoom";67514
"Total male and female";"2010";"Bergeyk";
"Total male and female";"2020";"Bergeyk";
"Total male and female";"2021";"Bergeyk";
"Total male and female";"2010";"Bergh";
"Total male and female";"2020";"Bergh";
"Total male and female";"2021";"Bergh";
"Total male and female";"2010";"Bergharen";
"Total male and female";"2020";"Bergharen";
"Total male and female";"2021";"Bergharen";
"Total male and female";"2010";"Berghem";
"Total male and female";"2020";"Berghem";
"Total male and female";"2021";"Berghem";
"Total male and female";"2010";"Bergschenhoek";
"Total male and female";"2020";"Bergschenhoek";
"Total male and female";"2021";"Bergschenhoek";
"Total male and female";"2010";"Berkel en Rodenrijs";
"Total male and female";"2020";"Berkel en Rodenrijs";
"Total male and female";"2021";"Berkel en Rodenrijs";
"Total male and female";"2010";"Berkel-Enschot";
"Total male and female";"2020";"Berkel-Enschot";
"Total male and female";"2021";"Berkel-Enschot";
"Total male and female";"2010";"Berkelland";44978
"Total male and female";"2020";"Berkelland";43747
"Total male and female";"2021";"Berkelland";43846
"Total male and female";"2010";"Berkenwoude";
"Total male and female";"2020";"Berkenwoude";
"Total male and female";"2021";"Berkenwoude";
"Total male and female";"2010";"Berkhout";
