"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2010";"Rozenburg";12494
"Total male and female";"2020";"Rozenburg";
"Total male and female";"2021";"Rozenburg";
"Total male and female";"2010";"Rozendaal";1495
"Total male and female";"2020";"Rozendaal";1704
"Total male and female";"2021";"Rozendaal";1726
"Total male and female";"2010";"Rucphen";22484
"Total male and female";"2020";"Rucphen";22878
"Total male and female";"2021";"Rucphen";23080
"Total male and female";"2010";"Ruinen";
"Total male and female";"2020";"Ruinen";
"Total male and female";"2021";"Ruinen";
"Total male and female";"2010";"Ruinerwold";
"Total male and female";"2020";"Ruinerwold";
"Total male and female";"2021";"Ruinerwold";
"Total male and female";"2010";"Ruurlo";
"Total male and female";"2020";"Ruurlo";
"Total male and female";"2021";"Ruurlo";
"Total male and female";"2010";"Ruwiel";
"Total male and female";"2020";"Ruwiel";
"Total male and female";"2021";"Ruwiel";
"Total male and female";"2010";"Sambeek";
"Total male and female";"2020";"Sambeek";
"Total male and female";"2021";"Sambeek";
"Total male and female";"2010";"Sappemeer";
"Total male and female";"2020";"Sappemeer";
"Total male and female";"2021";"Sappemeer";
"Total male and female";"2010";"Sas van Gent";
"Total male and female";"2020";"Sas van Gent";
"Total male and female";"2021";"Sas van Gent";
"Total male and female";"2010";"Sassenheim";
"Total male and female";"2020";"Sassenheim";
"Total male and female";"2021";"Sassenheim";
"Total male and female";"2010";"Schaesberg";
"Total male and female";"2020";"Schaesberg";
"Total male and female";"2021";"Schaesberg";
"Total male and female";"2010";"Schagen";18736
"Total male and female";"2020";"Schagen";46483
"Total male and female";"2021";"Schagen";46532
"Total male and female";"2010";"Schaijk";
"Total male and female";"2020";"Schaijk";
"Total male and female";"2021";"Schaijk";
"Total male and female";"2010";"Schalkwijk";
"Total male and female";"2020";"Schalkwijk";
"Total male and female";"2021";"Schalkwijk";
"Total male and female";"2010";"Scharsterland";
"Total male and female";"2020";"Scharsterland";
"Total male and female";"2021";"Scharsterland";
"Total male and female";"2010";"Scheemda";
"Total male and female";"2020";"Scheemda";
"Total male and female";"2021";"Scheemda";
"Total male and female";"2010";"Schellinkhout";
"Total male and female";"2020";"Schellinkhout";
"Total male and female";"2021";"Schellinkhout";
"Total male and female";"2010";"Schelluinen";
"Total male and female";"2020";"Schelluinen";
"Total male and female";"2021";"Schelluinen";
"Total male and female";"2010";"Schermer";5360
"Total male and female";"2020";"Schermer";
"Total male and female";"2021";"Schermer";
"Total male and female";"2010";"Schermerhorn";
"Total male and female";"2020";"Schermerhorn";
"Total male and female";"2021";"Schermerhorn";
"Total male and female";"2010";"Scherpenisse";
"Total male and female";"2020";"Scherpenisse";
"Total male and female";"2021";"Scherpenisse";
"Total male and female";"2010";"Scherpenzeel";9316
"Total male and female";"2020";"Scherpenzeel";9880
"Total male and female";"2021";"Scherpenzeel";10128
"Total male and female";"2010";"Schiedam";75565
"Total male and female";"2020";"Schiedam";78730
"Total male and female";"2021";"Schiedam";79279
"Total male and female";"2010";"Schiermonnikoog";942
"Total male and female";"2020";"Schiermonnikoog";947
"Total male and female";"2021";"Schiermonnikoog";931
"Total male and female";"2010";"Schijndel";22991
"Total male and female";"2020";"Schijndel";
"Total male and female";"2021";"Schijndel";
"Total male and female";"2010";"Schimmert";
"Total male and female";"2020";"Schimmert";
"Total male and female";"2021";"Schimmert";
"Total male and female";"2010";"Schinnen";13494
"Total male and female";"2020";"Schinnen";
"Total male and female";"2021";"Schinnen";
"Total male and female";"2010";"Schinveld";
"Total male and female";"2020";"Schinveld";
"Total male and female";"2021";"Schinveld";
"Total male and female";"2010";"Schipluiden";
"Total male and female";"2020";"Schipluiden";
"Total male and female";"2021";"Schipluiden";
"Total male and female";"2010";"Schoondijke";
"Total male and female";"2020";"Schoondijke";
"Total male and female";"2021";"Schoondijke";
"Total male and female";"2010";"Schoonebeek";
"Total male and female";"2020";"Schoonebeek";
"Total male and female";"2021";"Schoonebeek";
"Total male and female";"2010";"Schoonhoven";11985
"Total male and female";"2020";"Schoonhoven";
"Total male and female";"2021";"Schoonhoven";
"Total male and female";"2010";"Schoonrewoerd";
"Total male and female";"2020";"Schoonrewoerd";
"Total male and female";"2021";"Schoonrewoerd";
"Total male and female";"2010";"Schoorl";
"Total male and female";"2020";"Schoorl";
"Total male and female";"2021";"Schoorl";
"Total male and female";"2010";"Schouwen-Duiveland";34118
"Total male and female";"2020";"Schouwen-Duiveland";33839
"Total male and female";"2021";"Schouwen-Duiveland";34065
"Total male and female";"2010";"Serooskerke (Schouwen-Duivenland)";
"Total male and female";"2020";"Serooskerke (Schouwen-Duivenland)";
"Total male and female";"2021";"Serooskerke (Schouwen-Duivenland)";
"Total male and female";"2010";"Serooskerke (Walcheren)";
"Total male and female";"2020";"Serooskerke (Walcheren)";
"Total male and female";"2021";"Serooskerke (Walcheren)";
"Total male and female";"2010";"Sevenum";
"Total male and female";"2020";"Sevenum";
"Total male and female";"2021";"Sevenum";
"Total male and female";"2010";"Sijbekarspel";
"Total male and female";"2020";"Sijbekarspel";
"Total male and female";"2021";"Sijbekarspel";
"Total male and female";"2010";"Simpelveld";10996
"Total male and female";"2020";"Simpelveld";10555
"Total male and female";"2021";"Simpelveld";10477
"Total male and female";"2010";"Sint Anthonis";11842
"Total male and female";"2020";"Sint Anthonis";11664
"Total male and female";"2021";"Sint Anthonis";11691
"Total male and female";"2010";"Sint Geertruid";
"Total male and female";"2020";"Sint Geertruid";
"Total male and female";"2021";"Sint Geertruid";
"Total male and female";"2010";"Sint Jansteen";
"Total male and female";"2020";"Sint Jansteen";
"Total male and female";"2021";"Sint Jansteen";
"Total male and female";"2010";"Sint Laurens";
"Total male and female";"2020";"Sint Laurens";
"Total male and female";"2021";"Sint Laurens";
"Total male and female";"2010";"Sint Maarten";
"Total male and female";"2020";"Sint Maarten";
"Total male and female";"2021";"Sint Maarten";
"Total male and female";"2010";"Sint Odilienberg";
"Total male and female";"2020";"Sint Odilienberg";
"Total male and female";"2021";"Sint Odilienberg";
"Total male and female";"2010";"Sint Pancras";
"Total male and female";"2020";"Sint Pancras";
"Total male and female";"2021";"Sint Pancras";
"Total male and female";"2010";"Sint Philipsland";
"Total male and female";"2020";"Sint Philipsland";
"Total male and female";"2021";"Sint Philipsland";
"Total male and female";"2010";"Sint-Annaland";
"Total male and female";"2020";"Sint-Annaland";
"Total male and female";"2021";"Sint-Annaland";
"Total male and female";"2010";"Sint-Maartensdijk";
"Total male and female";"2020";"Sint-Maartensdijk";
"Total male and female";"2021";"Sint-Maartensdijk";
"Total male and female";"2010";"Sint-Michielsgestel";28138
"Total male and female";"2020";"Sint-Michielsgestel";29208
"Total male and female";"2021";"Sint-Michielsgestel";29498
"Total male and female";"2010";"Sint-Oedenrode";17680
"Total male and female";"2020";"Sint-Oedenrode";
"Total male and female";"2021";"Sint-Oedenrode";
"Total male and female";"2010";"Sittard";
"Total male and female";"2020";"Sittard";
"Total male and female";"2021";"Sittard";
"Total male and female";"2010";"Sittard-Geleen";95243
"Total male and female";"2020";"Sittard-Geleen";92429
"Total male and female";"2021";"Sittard-Geleen";91743
"Total male and female";"2010";"Skarsterlân";27289
"Total male and female";"2020";"Skarsterlân";
"Total male and female";"2021";"Skarsterlân";
"Total male and female";"2010";"Sleen";
"Total male and female";"2020";"Sleen";
"Total male and female";"2021";"Sleen";
"Total male and female";"2010";"Slenaken";
"Total male and female";"2020";"Slenaken";
"Total male and female";"2021";"Slenaken";
"Total male and female";"2010";"Sliedrecht";24051
"Total male and female";"2020";"Sliedrecht";25220
"Total male and female";"2021";"Sliedrecht";25597
"Total male and female";"2010";"Slochteren";15555
"Total male and female";"2020";"Slochteren";
"Total male and female";"2021";"Slochteren";
"Total male and female";"2010";"Sloten (F.)";
"Total male and female";"2020";"Sloten (F.)";
"Total male and female";"2021";"Sloten (F.)";
"Total male and female";"2010";"Sluis";24089
"Total male and female";"2020";"Sluis";23210
"Total male and female";"2021";"Sluis";23166
"Total male and female";"2010";"Sluis (oud)";
"Total male and female";"2020";"Sluis (oud)";
"Total male and female";"2021";"Sluis (oud)";
"Total male and female";"2010";"Sluis-Aardenburg";
"Total male and female";"2020";"Sluis-Aardenburg";
"Total male and female";"2021";"Sluis-Aardenburg";
"Total male and female";"2010";"Smallingerland";55271
"Total male and female";"2020";"Smallingerland";56150
"Total male and female";"2021";"Smallingerland";56040
"Total male and female";"2010";"Smilde";
"Total male and female";"2020";"Smilde";
"Total male and female";"2021";"Smilde";
"Total male and female";"2010";"Sneek";33431
"Total male and female";"2020";"Sneek";
"Total male and female";"2021";"Sneek";
"Total male and female";"2010";"Snelrewaard";
"Total male and female";"2020";"Snelrewaard";
"Total male and female";"2021";"Snelrewaard";
"Total male and female";"2010";"Soest";45680
"Total male and female";"2020";"Soest";46606
"Total male and female";"2021";"Soest";46906
"Total male and female";"2010";"Someren";18229
"Total male and female";"2020";"Someren";19368
"Total male and female";"2021";"Someren";19428
"Total male and female";"2010";"Sommelsdijk";
"Total male and female";"2020";"Sommelsdijk";
"Total male and female";"2021";"Sommelsdijk";
"Total male and female";"2010";"Son en Breugel";15543
"Total male and female";"2020";"Son en Breugel";17322
"Total male and female";"2021";"Son en Breugel";17552
"Total male and female";"2010";"Spanbroek";
"Total male and female";"2020";"Spanbroek";
"Total male and female";"2021";"Spanbroek";
"Total male and female";"2010";"Spaubeek";
"Total male and female";"2020";"Spaubeek";
"Total male and female";"2021";"Spaubeek";
"Total male and female";"2010";"Spijkenisse";72345
"Total male and female";"2020";"Spijkenisse";
"Total male and female";"2021";"Spijkenisse";
"Total male and female";"2010";"Sprang-Capelle";
"Total male and female";"2020";"Sprang-Capelle";
"Total male and female";"2021";"Sprang-Capelle";
"Total male and female";"2010";"St. Anthonis";
"Total male and female";"2020";"St. Anthonis";
"Total male and female";"2021";"St. Anthonis";
"Total male and female";"2010";"Stad aan 't Haringvliet";
"Total male and female";"2020";"Stad aan 't Haringvliet";
"Total male and female";"2021";"Stad aan 't Haringvliet";
"Total male and female";"2010";"Stad Delden";
"Total male and female";"2020";"Stad Delden";
"Total male and female";"2021";"Stad Delden";
"Total male and female";"2010";"Stadskanaal";33416
"Total male and female";"2020";"Stadskanaal";31686
"Total male and female";"2021";"Stadskanaal";31754
"Total male and female";"2010";"Stad-Vollenhove";
"Total male and female";"2020";"Stad-Vollenhove";
"Total male and female";"2021";"Stad-Vollenhove";
"Total male and female";"2010";"Standdaarbuiten";
"Total male and female";"2020";"Standdaarbuiten";
"Total male and female";"2021";"Standdaarbuiten";
"Total male and female";"2010";"Staphorst";16153
"Total male and female";"2020";"Staphorst";17145
"Total male and female";"2021";"Staphorst";17261
"Total male and female";"2010";"Stavenisse";
"Total male and female";"2020";"Stavenisse";
"Total male and female";"2021";"Stavenisse";
"Total male and female";"2010";"Stavoren";
"Total male and female";"2020";"Stavoren";
"Total male and female";"2021";"Stavoren";
"Total male and female";"2010";"Stede Broec";21274
"Total male and female";"2020";"Stede Broec";21726
"Total male and female";"2021";"Stede Broec";21743
"Total male and female";"2010";"Stedum";
"Total male and female";"2020";"Stedum";
"Total male and female";"2021";"Stedum";
"Total male and female";"2010";"Steenbergen";23224
"Total male and female";"2020";"Steenbergen";24416
"Total male and female";"2021";"Steenbergen";24310
"Total male and female";"2010";"Steenbergen en Kruisland";
"Total male and female";"2020";"Steenbergen en Kruisland";
"Total male and female";"2021";"Steenbergen en Kruisland";
"Total male and female";"2010";"Steenderen";
"Total male and female";"2020";"Steenderen";
"Total male and female";"2021";"Steenderen";
"Total male and female";"2010";"Steenwijk";
"Total male and female";"2020";"Steenwijk";
"Total male and female";"2021";"Steenwijk";
"Total male and female";"2010";"Steenwijkerland";43208
"Total male and female";"2020";"Steenwijkerland";44126
"Total male and female";"2021";"Steenwijkerland";44341
"Total male and female";"2010";"Steenwijkerwold";
"Total male and female";"2020";"Steenwijkerwold";
"Total male and female";"2021";"Steenwijkerwold";
"Total male and female";"2010";"Stein (L.)";25673
"Total male and female";"2020";"Stein (L.)";25007
"Total male and female";"2021";"Stein (L.)";24875
"Total male and female";"2010";"Stellendam";
"Total male and female";"2020";"Stellendam";
"Total male and female";"2021";"Stellendam";
"Total male and female";"2010";"Stevensweert";
"Total male and female";"2020";"Stevensweert";
"Total male and female";"2021";"Stevensweert";
"Total male and female";"2010";"Stichtse Vecht";
"Total male and female";"2020";"Stichtse Vecht";64931
"Total male and female";"2021";"Stichtse Vecht";65108
"Total male and female";"2010";"Stiphout";
"Total male and female";"2020";"Stiphout";
"Total male and female";"2021";"Stiphout";
"Total male and female";"2010";"Stolwijk";
"Total male and female";"2020";"Stolwijk";
"Total male and female";"2021";"Stolwijk";
"Total male and female";"2010";"Stoutenburg";
"Total male and female";"2020";"Stoutenburg";
"Total male and female";"2021";"Stoutenburg";
"Total male and female";"2010";"Stramproy";
"Total male and female";"2020";"Stramproy";
"Total male and female";"2021";"Stramproy";
"Total male and female";"2010";"Streefkerk";
"Total male and female";"2020";"Streefkerk";
"Total male and female";"2021";"Streefkerk";
"Total male and female";"2010";"Strijen";8916
"Total male and female";"2020";"Strijen";
"Total male and female";"2021";"Strijen";
"Total male and female";"2010";"Súdwest-Fryslân";
"Total male and female";"2020";"Súdwest-Fryslân";89987
"Total male and female";"2021";"Súdwest-Fryslân";89999
"Total male and female";"2010";"Susteren";
"Total male and female";"2020";"Susteren";
"Total male and female";"2021";"Susteren";
"Total male and female";"2010";"Swalmen";
"Total male and female";"2020";"Swalmen";
"Total male and female";"2021";"Swalmen";
"Total male and female";"2010";"Tegelen";
"Total male and female";"2020";"Tegelen";
"Total male and female";"2021";"Tegelen";
"Total male and female";"2010";"Terheijden";
"Total male and female";"2020";"Terheijden";
"Total male and female";"2021";"Terheijden";
"Total male and female";"2010";"Termunten";
"Total male and female";"2020";"Termunten";
"Total male and female";"2021";"Termunten";
"Total male and female";"2010";"Terneuzen";54878
"Total male and female";"2020";"Terneuzen";54426
"Total male and female";"2021";"Terneuzen";54463
"Total male and female";"2010";"Terschelling";4733
"Total male and female";"2020";"Terschelling";4888
"Total male and female";"2021";"Terschelling";4870
"Total male and female";"2010";"Teteringen";
"Total male and female";"2020";"Teteringen";
"Total male and female";"2021";"Teteringen";
"Total male and female";"2010";"Texel";13779
"Total male and female";"2020";"Texel";13575
"Total male and female";"2021";"Texel";13656
"Total male and female";"2010";"Teylingen";35759
"Total male and female";"2020";"Teylingen";37440
"Total male and female";"2021";"Teylingen";37791
"Total male and female";"2010";"Tholen";25410
"Total male and female";"2020";"Tholen";25757
"Total male and female";"2021";"Tholen";26085
"Total male and female";"2010";"Thorn";
"Total male and female";"2020";"Thorn";
"Total male and female";"2021";"Thorn";
"Total male and female";"2010";"Tiel";41192
"Total male and female";"2020";"Tiel";42159
"Total male and female";"2021";"Tiel";41920
"Total male and female";"2010";"Tienhoven (U.)";
"Total male and female";"2020";"Tienhoven (U.)";
"Total male and female";"2021";"Tienhoven (U.)";
"Total male and female";"2010";"Tienhoven (ZH.)";
"Total male and female";"2020";"Tienhoven (ZH.)";
"Total male and female";"2021";"Tienhoven (ZH.)";
"Total male and female";"2010";"Tietjerksteradeel";
"Total male and female";"2020";"Tietjerksteradeel";
"Total male and female";"2021";"Tietjerksteradeel";
"Total male and female";"2010";"Tilburg";204853
"Total male and female";"2020";"Tilburg";219789
"Total male and female";"2021";"Tilburg";221947
"Total male and female";"2010";"Tubbergen";21145
"Total male and female";"2020";"Tubbergen";21275
"Total male and female";"2021";"Tubbergen";21315
"Total male and female";"2010";"Tudderen (Drostambt)";
"Total male and female";"2020";"Tudderen (Drostambt)";
"Total male and female";"2021";"Tudderen (Drostambt)";
"Total male and female";"2010";"Tull en 't Waal";
"Total male and female";"2020";"Tull en 't Waal";
"Total male and female";"2021";"Tull en 't Waal";
"Total male and female";"2010";"Twenterand";33580
"Total male and female";"2020";"Twenterand";33743
"Total male and female";"2021";"Twenterand";33699
"Total male and female";"2010";"Twisk";
"Total male and female";"2020";"Twisk";
"Total male and female";"2021";"Twisk";
"Total male and female";"2010";"Tynaarlo";32408
"Total male and female";"2020";"Tynaarlo";33887
"Total male and female";"2021";"Tynaarlo";33978
"Total male and female";"2010";"Tytsjerksteradiel";32237
"Total male and female";"2020";"Tytsjerksteradiel";32052
"Total male and female";"2021";"Tytsjerksteradiel";32060
"Total male and female";"2010";"Ubach over Worms";
"Total male and female";"2020";"Ubach over Worms";
"Total male and female";"2021";"Ubach over Worms";
"Total male and female";"2010";"Ubbergen";9333
"Total male and female";"2020";"Ubbergen";
"Total male and female";"2021";"Ubbergen";
"Total male and female";"2010";"Uden";40536
"Total male and female";"2020";"Uden";42119
"Total male and female";"2021";"Uden";42291
"Total male and female";"2010";"Udenhout";
"Total male and female";"2020";"Udenhout";
"Total male and female";"2021";"Udenhout";
"Total male and female";"2010";"Uitgeest";12664
"Total male and female";"2020";"Uitgeest";13666
"Total male and female";"2021";"Uitgeest";13632
"Total male and female";"2010";"Uithoorn";28053
"Total male and female";"2020";"Uithoorn";29478
"Total male and female";"2021";"Uithoorn";30206
"Total male and female";"2010";"Uithuizen";
"Total male and female";"2020";"Uithuizen";
"Total male and female";"2021";"Uithuizen";
"Total male and female";"2010";"Uithuizermeeden";
"Total male and female";"2020";"Uithuizermeeden";
"Total male and female";"2021";"Uithuizermeeden";
"Total male and female";"2010";"Ulestraten";
"Total male and female";"2020";"Ulestraten";
"Total male and female";"2021";"Ulestraten";
"Total male and female";"2010";"Ulrum";
"Total male and female";"2020";"Ulrum";
"Total male and female";"2021";"Ulrum";
"Total male and female";"2010";"Urk";18310
"Total male and female";"2020";"Urk";21031
"Total male and female";"2021";"Urk";21227
"Total male and female";"2010";"Urmond";
"Total male and female";"2020";"Urmond";
"Total male and female";"2021";"Urmond";
"Total male and female";"2010";"Ursem";
"Total male and female";"2020";"Ursem";
"Total male and female";"2021";"Ursem";
"Total male and female";"2010";"Usquert";
"Total male and female";"2020";"Usquert";
"Total male and female";"2021";"Usquert";
"Total male and female";"2010";"Utingeradeel";
"Total male and female";"2020";"Utingeradeel";
"Total male and female";"2021";"Utingeradeel";
"Total male and female";"2010";"Utrecht (municipality)";307081
"Total male and female";"2020";"Utrecht (municipality)";357597
"Total male and female";"2021";"Utrecht (municipality)";359370
"Total male and female";"2010";"Utrechtse Heuvelrug";48801
"Total male and female";"2020";"Utrechtse Heuvelrug";49580
"Total male and female";"2021";"Utrechtse Heuvelrug";49946
"Total male and female";"2010";"Vaals";9870
"Total male and female";"2020";"Vaals";10105
"Total male and female";"2021";"Vaals";10084
"Total male and female";"2010";"Valburg";
"Total male and female";"2020";"Valburg";
"Total male and female";"2021";"Valburg";
"Total male and female";"2010";"Valkenburg (ZH.)";
"Total male and female";"2020";"Valkenburg (ZH.)";
"Total male and female";"2021";"Valkenburg (ZH.)";
"Total male and female";"2010";"Valkenburg aan de Geul";17090
"Total male and female";"2020";"Valkenburg aan de Geul";16367
"Total male and female";"2021";"Valkenburg aan de Geul";16365
"Total male and female";"2010";"Valkenburg-Houthem";
"Total male and female";"2020";"Valkenburg-Houthem";
"Total male and female";"2021";"Valkenburg-Houthem";
"Total male and female";"2010";"Valkenisse";
"Total male and female";"2020";"Valkenisse";
"Total male and female";"2021";"Valkenisse";
"Total male and female";"2010";"Valkenswaard";30725
"Total male and female";"2020";"Valkenswaard";31193
"Total male and female";"2021";"Valkenswaard";31221
"Total male and female";"2010";"Varik";
"Total male and female";"2020";"Varik";
"Total male and female";"2021";"Varik";
"Total male and female";"2010";"Veen";
"Total male and female";"2020";"Veen";
"Total male and female";"2021";"Veen";
"Total male and female";"2010";"Veendam";28024
"Total male and female";"2020";"Veendam";27384
"Total male and female";"2021";"Veendam";27417
"Total male and female";"2010";"Veenendaal";62053
"Total male and female";"2020";"Veenendaal";66493
"Total male and female";"2021";"Veenendaal";66912
"Total male and female";"2010";"Veere";21914
"Total male and female";"2020";"Veere";21880
"Total male and female";"2021";"Veere";21953
"Total male and female";"2010";"Veghel";37303
"Total male and female";"2020";"Veghel";
"Total male and female";"2021";"Veghel";
"Total male and female";"2010";"Veldhoven";43243
"Total male and female";"2020";"Veldhoven";45466
"Total male and female";"2021";"Veldhoven";45500
"Total male and female";"2010";"Veldhuizen";
"Total male and female";"2020";"Veldhuizen";
"Total male and female";"2021";"Veldhuizen";
"Total male and female";"2010";"Velp";
"Total male and female";"2020";"Velp";
"Total male and female";"2021";"Velp";
"Total male and female";"2010";"Velsen";67281
"Total male and female";"2020";"Velsen";68648
"Total male and female";"2021";"Velsen";68617
"Total male and female";"2010";"Venhuizen";
"Total male and female";"2020";"Venhuizen";
"Total male and female";"2021";"Venhuizen";
"Total male and female";"2010";"Venlo";100301
"Total male and female";"2020";"Venlo";101802
"Total male and female";"2021";"Venlo";101988
"Total male and female";"2010";"Venray";42718
"Total male and female";"2020";"Venray";43614
"Total male and female";"2021";"Venray";43713
"Total male and female";"2010";"Vessem, Wintelre en Knegsel";
"Total male and female";"2020";"Vessem, Wintelre en Knegsel";
"Total male and female";"2021";"Vessem, Wintelre en Knegsel";
"Total male and female";"2010";"Vianen";19647
"Total male and female";"2020";"Vianen";
"Total male and female";"2021";"Vianen";
"Total male and female";"2010";"Vierlingsbeek";
"Total male and female";"2020";"Vierlingsbeek";
"Total male and female";"2021";"Vierlingsbeek";
"Total male and female";"2010";"Vierpolders";
"Total male and female";"2020";"Vierpolders";
"Total male and female";"2021";"Vierpolders";
"Total male and female";"2010";"Vijfheerenlanden";
"Total male and female";"2020";"Vijfheerenlanden";56811
"Total male and female";"2021";"Vijfheerenlanden";57829
"Total male and female";"2010";"Vinkeveen en Waverveen";
"Total male and female";"2020";"Vinkeveen en Waverveen";
"Total male and female";"2021";"Vinkeveen en Waverveen";
"Total male and female";"2010";"Vlaardingen";70533
"Total male and female";"2020";"Vlaardingen";73397
"Total male and female";"2021";"Vlaardingen";73924
"Total male and female";"2010";"Vlagtwedde";16260
"Total male and female";"2020";"Vlagtwedde";
"Total male and female";"2021";"Vlagtwedde";
"Total male and female";"2010";"Vledder";
"Total male and female";"2020";"Vledder";
"Total male and female";"2021";"Vledder";
"Total male and female";"2010";"Vleuten";
"Total male and female";"2020";"Vleuten";
"Total male and female";"2021";"Vleuten";
"Total male and female";"2010";"Vleuten-De Meern";
"Total male and female";"2020";"Vleuten-De Meern";
"Total male and female";"2021";"Vleuten-De Meern";
"Total male and female";"2010";"Vlieland";1160
"Total male and female";"2020";"Vlieland";1155
"Total male and female";"2021";"Vlieland";1194
"Total male and female";"2010";"Vlijmen";
"Total male and female";"2020";"Vlijmen";
"Total male and female";"2021";"Vlijmen";
"Total male and female";"2010";"Vlissingen";44645
"Total male and female";"2020";"Vlissingen";44360
"Total male and female";"2021";"Vlissingen";44358
"Total male and female";"2010";"Vlist";9753
"Total male and female";"2020";"Vlist";
"Total male and female";"2021";"Vlist";
"Total male and female";"2010";"Vlodrop";
"Total male and female";"2020";"Vlodrop";
"Total male and female";"2021";"Vlodrop";
"Total male and female";"2010";"Voerendaal";12703
"Total male and female";"2020";"Voerendaal";12475
"Total male and female";"2021";"Voerendaal";12466
"Total male and female";"2010";"Vogelwaarde";
"Total male and female";"2020";"Vogelwaarde";
"Total male and female";"2021";"Vogelwaarde";
"Total male and female";"2010";"Vollenhove";
"Total male and female";"2020";"Vollenhove";
"Total male and female";"2021";"Vollenhove";
"Total male and female";"2010";"Voorburg";
"Total male and female";"2020";"Voorburg";
"Total male and female";"2021";"Voorburg";
"Total male and female";"2010";"Voorhout";
"Total male and female";"2020";"Voorhout";
"Total male and female";"2021";"Voorhout";
"Total male and female";"2010";"Voorschoten";23462
"Total male and female";"2020";"Voorschoten";25596
"Total male and female";"2021";"Voorschoten";25650
"Total male and female";"2010";"Voorst";23772
"Total male and female";"2020";"Voorst";24552
"Total male and female";"2021";"Voorst";24790
"Total male and female";"2010";"Vorden";
"Total male and female";"2020";"Vorden";
"Total male and female";"2021";"Vorden";
"Total male and female";"2010";"Vreeland";
"Total male and female";"2020";"Vreeland";
"Total male and female";"2021";"Vreeland";
"Total male and female";"2010";"Vreeswijk";
"Total male and female";"2020";"Vreeswijk";
"Total male and female";"2021";"Vreeswijk";
"Total male and female";"2010";"Vries";
"Total male and female";"2020";"Vries";
"Total male and female";"2021";"Vries";
"Total male and female";"2010";"Vriezenveen";
"Total male and female";"2020";"Vriezenveen";
"Total male and female";"2021";"Vriezenveen";
"Total male and female";"2010";"Vrouwenpolder";
"Total male and female";"2020";"Vrouwenpolder";
"Total male and female";"2021";"Vrouwenpolder";
"Total male and female";"2010";"Vught";25400
"Total male and female";"2020";"Vught";26558
"Total male and female";"2021";"Vught";31669
"Total male and female";"2010";"Vuren";
"Total male and female";"2020";"Vuren";
"Total male and female";"2021";"Vuren";
"Total male and female";"2010";"Waadhoeke";
"Total male and female";"2020";"Waadhoeke";46090
"Total male and female";"2021";"Waadhoeke";46149
"Total male and female";"2010";"Waalre";16533
"Total male and female";"2020";"Waalre";17456
"Total male and female";"2021";"Waalre";17544
"Total male and female";"2010";"Waalwijk";45751
"Total male and female";"2020";"Waalwijk";48637
"Total male and female";"2021";"Waalwijk";48815
"Total male and female";"2010";"Waarde";
"Total male and female";"2020";"Waarde";
"Total male and female";"2021";"Waarde";
"Total male and female";"2010";"Waardenburg";
"Total male and female";"2020";"Waardenburg";
"Total male and female";"2021";"Waardenburg";
"Total male and female";"2010";"Waarder";
"Total male and female";"2020";"Waarder";
"Total male and female";"2021";"Waarder";
"Total male and female";"2010";"Waddinxveen";25400
"Total male and female";"2020";"Waddinxveen";29291
"Total male and female";"2021";"Waddinxveen";30479
"Total male and female";"2010";"Wadenoijen";
"Total male and female";"2020";"Wadenoijen";
"Total male and female";"2021";"Wadenoijen";
"Total male and female";"2010";"Wageningen";37359
"Total male and female";"2020";"Wageningen";39664
"Total male and female";"2021";"Wageningen";39635
"Total male and female";"2010";"Wamel";
"Total male and female";"2020";"Wamel";
"Total male and female";"2021";"Wamel";
"Total male and female";"2010";"Wanneperveen";
"Total male and female";"2020";"Wanneperveen";
"Total male and female";"2021";"Wanneperveen";
"Total male and female";"2010";"Wanroij";
"Total male and female";"2020";"Wanroij";
"Total male and female";"2021";"Wanroij";
"Total male and female";"2010";"Wanssum";
"Total male and female";"2020";"Wanssum";
"Total male and female";"2021";"Wanssum";
"Total male and female";"2010";"Warder";
"Total male and female";"2020";"Warder";
"Total male and female";"2021";"Warder";
"Total male and female";"2010";"Warffum";
"Total male and female";"2020";"Warffum";
"Total male and female";"2021";"Warffum";
"Total male and female";"2010";"Warmenhuizen";
"Total male and female";"2020";"Warmenhuizen";
"Total male and female";"2021";"Warmenhuizen";
"Total male and female";"2010";"Warmond";
"Total male and female";"2020";"Warmond";
"Total male and female";"2021";"Warmond";
"Total male and female";"2010";"Warnsveld";
"Total male and female";"2020";"Warnsveld";
"Total male and female";"2021";"Warnsveld";
"Total male and female";"2010";"Waspik";
"Total male and female";"2020";"Waspik";
"Total male and female";"2021";"Waspik";
"Total male and female";"2010";"Wassenaar";25816
"Total male and female";"2020";"Wassenaar";26305
"Total male and female";"2021";"Wassenaar";26949
"Total male and female";"2010";"Wateringen";
"Total male and female";"2020";"Wateringen";
"Total male and female";"2021";"Wateringen";
"Total male and female";"2010";"Waterland";17057
"Total male and female";"2020";"Waterland";17424
"Total male and female";"2021";"Waterland";17312
"Total male and female";"2010";"Waterlandkerkje";
"Total male and female";"2020";"Waterlandkerkje";
"Total male and female";"2021";"Waterlandkerkje";
"Total male and female";"2010";"Wedde";
"Total male and female";"2020";"Wedde";
"Total male and female";"2021";"Wedde";
"Total male and female";"2010";"Weerselo";
"Total male and female";"2020";"Weerselo";
"Total male and female";"2021";"Weerselo";
"Total male and female";"2010";"Weert";48456
