id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
19;72;Good;1;Mild;1;Very good;1;8.9;2;Freshly prepared;1;11.5;2;3.47;2;16.0;0;1;0;1;1;17_028
20;55;Very good;1;Mild;1;Very good;1;5.1;1;Freshly prepared;1;11.3;2;3.54;3;15.5;0;1;0;1;0;16_046_17_042
21;61;Very good;1;Average;2;Poor;3;4.5;1;Not freshly prepared;0;13.2;2;3.03;2;9.0;0;1;0;1;1;17_128
22;73;Very good;1;Mild;1;Very good;1;4.6;1;Freshly prepared;1;10.3;2;3.21;2;17.2;1;0;0;1;1;17_004_16_030
23;72;Good;1;Average;2;Very good;1;4.1;1;Freshly prepared;1;10.4;2;3.15;2;16.3;0;1;0;1;1;17_023_16_004
24;45;Very good;1;Strong;3;Good;2;2.3;1;Not freshly prepared;0;7.9;1;3.32;2;9.5;0;1;0;0;1;17_125
25;56;Good;1;Strong;3;Bad;4;16.4;3;Freshly prepared;1;9.1;1;4.01;3;9.5;0;1;0;1;1;17_124
26;68;Very good;1;Average;2;Poor;3;8.9;2;Freshly prepared;1;14.2;3;2.94;2;13.0;0;1;0;1;1;17_090
27;76;Very good;1;Strong;3;Poor;3;8.9;2;Freshly prepared;1;12.8;2;2.63;1;14.0;0;1;0;1;0;16_076
28;61;Very good;1;Mild;1;Very good;1;5.1;1;Freshly prepared;1;7.5;1;3.68;3;15.5;0;1;0;1;1;17_043
29;64;Very good;1;Average;2;Very good;1;5.6;1;Freshly prepared;1;12.6;2;3.43;2;16.5;0;1;0;0;0;16_024
30;71;Good;1;Average;2;Poor;3;10.4;3;Not freshly prepared;0;10.6;2;2.81;1;10.0;0;1;0;1;1;17_121
31;55;Very good;1;Average;2;Very good;1;8.1;2;Freshly prepared;1;13.0;2;3.63;3;16.0;0;1;0;1;0;16_027
32;79;Good;1;Average;2;Poor;3;4.2;1;Freshly prepared;1;12.6;2;3.76;3;16.0;0;1;0;1;1;17_030
33;75;Warning;4;Strong;3;Good;2;8.9;2;Freshly prepared;1;14.5;3;3.33;2;14.5;0;1;0;1;0;16_063
34;62;Very good;1;Average;2;Very good;1;2.9;1;Freshly prepared;1;12.7;2;3.22;2;15.0;0;1;0;1;0;16_054
35;65;Passed;2;Average;2;Good;2;14.5;3;Not freshly prepared;0;9.1;1;3.46;2;11.0;0;1;0;1;1;17_113
36;60;Alarm signal;4;Strong;3;Good;2;13.6;3;Not freshly prepared;0;13.6;2;3.75;3;10.0;0;1;0;1;0;16_114
37;66;Very good;1;Average;2;Poor;3;12.9;3;Freshly prepared;1;8.7;1;3.03;2;11.0;0;1;0;1;1;17_110
38;63;Alarm signal;4;Average;2;Good;2;13.9;3;Not freshly prepared;0;7.3;1;3.17;2;11.0;0;1;0;1;1;17_111
39;65;Very good;1;Average;2;Very good;1;3.2;1;Freshly prepared;1;15.5;3;3.07;2;15.5;0;1;0;1;0;16_044
40;62;Good;1;Strong;3;Good;2;4.8;1;Not freshly prepared;0;11.5;2;1.61;1;8.5;0;1;0;1;0;16_131
41;64;Good;1;Average;2;Poor;3;13.9;3;Freshly prepared;1;7.9;1;3.12;2;11.5;0;1;0;1;1;17_106
42;66;Very good;1;Average;2;Very good;1;3.6;1;Freshly prepared;1;11.9;2;3.18;2;16.0;0;1;0;1;0;16_038
43;55;Very good;1;Average;2;Poor;3;6.0;1;Freshly prepared;1;13.1;2;3.36;2;14.5;0;1;0;1;0;16_070
44;67;Very good;1;Average;2;Very good;1;2.9;1;Freshly prepared;1;12.2;2;3.35;2;16.3;0;1;0;0;1;17_018
45;69;Good;1;Strong;3;Good;2;11.4;3;Not freshly prepared;0;13.4;2;3.62;3;9.5;0;1;0;1;0;16_118
46;63;Good;1;Strong;3;Very good;1;10.2;3;Not freshly prepared;0;10.0;2;3.33;2;12.5;0;1;0;0;1;17_097
47;68;Passed;2;Average;2;Very good;1;8.9;2;Freshly prepared;1;10.9;2;3.23;2;14.0;0;1;0;1;1;17_072
48;53;Very good;1;Average;2;Poor;3;7.1;2;Not freshly prepared;0;12.6;2;3.27;2;12.5;0;1;0;0;1;17_100
49;74;Very good;1;Average;2;Very good;1;14.2;3;Freshly prepared;1;12.5;2;4.05;3;12.5;0;1;0;1;1;17_099
50;53;Very good;1;Average;2;Very good;1;4.5;1;Freshly prepared;1;16.5;3;3.67;3;16.5;0;1;0;0;0;16_021
51;56;Very good;1;Average;2;Very good;1;8.3;2;Freshly prepared;1;8.0;1;3.48;3;15.5;0;1;0;1;0;16_041
52;65;Bad;3;Average;2;Bad;4;6.1;1;Freshly prepared;1;10.5;2;3.46;2;12.5;0;1;0;1;1;17_096
53;76;Very good;1;Average;2;Good;2;7.6;2;Freshly prepared;1;13.1;2;2.96;2;15.0;0;1;0;1;0;16_050
54;69;Alarm signal;4;Strong;3;Bad;4;6.5;1;Not freshly prepared;0;10.6;2;2.53;1;7.5;0;1;0;1;1;17_141
55;48;Very good;1;Strong;3;Poor;3;9.9;2;Freshly prepared;1;8.3;1;3.64;3;9.0;0;1;0;1;1;17_131
56;71;Very good;1;Average;2;Good;2;-0.7;1;Freshly prepared;1;15.0;3;3.16;2;15.5;0;1;0;1;0;16_043
57;63;Very good;1;Average;2;Very good;1;2.6;1;Freshly prepared;1;12.0;2;3.3;2;16.5;0;1;0;0;0;16_015
58;80;Alarm signal;4;Average;2;Good;2;9.9;2;Not freshly prepared;0;11.2;2;2.75;1;13.0;0;1;0;1;1;17_089
59;66;Alarm signal;4;Average;2;Good;2;13.4;3;Not freshly prepared;0;8.1;1;3.78;3;13.0;0;1;0;1;1;17_088
60;45;Passed;2;Average;2;Very good;1;5.8;1;Freshly prepared;1;11.6;2;4.44;3;16.7;0;1;0;0;0;16_012
61;79;Very good;1;Strong;3;Poor;3;4.5;1;Freshly prepared;1;15.0;3;2.53;1;13.0;0;1;0;1;0;16_086
62;76;Very good;1;Average;2;Very good;1;6.9;1;Freshly prepared;1;12.7;2;2.56;1;15.0;0;1;0;0;0;16_062
63;63;Very good;1;Average;2;Very good;1;-1.4;1;Freshly prepared;1;14.0;3;3.96;3;16.5;0;1;0;1;0;16_017
